cohort_month,month_offset,cohort_customers,active_customers,retention_pct
2017-04,15,2325,2,0.09
2017-04,16,2325,3,0.13
2017-05,0,3541,3541,100.00
2017-05,1,3541,17,0.48
2017-05,2,3541,17,0.48
2017-05,3,3541,14,0.40
2017-05,4,3541,11,0.31
2017-05,5,3541,12,0.34
2017-05,6,3541,15,0.42
2017-05,7,3541,5,0.14
2017-05,8,3541,9,0.25
2017-05,9,3541,9,0.25
2017-05,10,3541,9,0.25
2017-05,11,3541,12,0.34
2017-05,12,3541,9,0.25
2017-05,13,3541,1,0.03
2017-05,14,3541,7,0.20
2017-05,15,3541,8,0.23
2017-06,0,3102,3102,100.00
2017-06,1,3102,14,0.45
2017-06,2,3102,11,0.35
2017-06,3,3102,12,0.39
2017-06,4,3102,8,0.26
2017-06,5,3102,12,0.39
2017-06,6,3102,11,0.35
2017-06,7,3102,7,0.23
2017-06,8,3102,4,0.13
2017-06,9,3102,7,0.23
2017-06,10,3102,10,0.32
2017-06,11,3102,10,0.32
2017-06,12,3102,5,0.16
2017-06,13,3102,4,0.13
2017-06,14,3102,6,0.19
2017-07,0,3822,3822,100.00
2017-07,1,3822,20,0.52
2017-07,2,3822,13,0.34
2017-07,3,3822,9,0.24
2017-07,4,3822,11,0.29
2017-07,5,3822,8,0.21
2017-07,6,3822,12,0.31
2017-07,7,3822,4,0.10
2017-07,8,3822,7,0.18
2017-07,9,3822,10,0.26
2017-07,10,3822,8,0.21
2017-07,11,3822,11,0.29
2017-07,12,3822,5,0.13
2017-07,13,3822,10,0.26
2017-08,0,4130,4130,100.00
2017-08,1,4130,28,0.68
2017-08,2,4130,14,0.34
2017-08,3,4130,11,0.27
2017-08,4,4130,15,0.36
2017-08,5,4130,22,0.53
2017-08,6,4130,12,0.29
2017-08,7,4130,11,0.27
2017-08,8,4130,6,0.15
2017-08,9,4130,6,0.15
2017-08,10,4130,10,0.24
2017-08,11,4130,8,0.19
2017-08,12,4130,5,0.12
2017-09,0,4075,4075,100.00
2017-09,1,4075,28,0.69
2017-09,2,4075,22,0.54
2017-09,3,4075,12,0.29
2017-09,4,4075,18,0.44
2017-09,5,4075,9,0.22
2017-09,6,4075,9,0.22
2017-09,7,4075,10,0.25
2017-09,8,4075,12,0.29
2017-09,9,4075,7,0.17
2017-09,10,4075,11,0.27
2017-09,11,4075,3,0.07
2017-10,0,4392,4392,100.00
2017-10,1,4392,31,0.71
2017-10,2,4392,11,0.25
2017-10,3,4392,4,0.09
2017-10,4,4392,10,0.23
2017-10,5,4392,9,0.20
2017-10,6,4392,9,0.20
2017-10,7,4392,16,0.36
2017-10,8,4392,12,0.27
2017-10,9,4392,9,0.20
2017-10,10,4392,9,0.20
2017-11,0,7190,7190,100.00
2017-11,1,7190,40,0.56
2017-11,2,7190,28,0.39
2017-11,3,7190,12,0.17
2017-11,4,7190,14,0.19
2017-11,5,7190,13,0.18
2017-11,6,7190,8,0.11
2017-11,7,7190,14,0.19
2017-11,8,7190,9,0.13
2017-11,9,7190,4,0.06
2017-12,0,5439,5439,100.00
2017-12,1,5439,12,0.22
2017-12,2,5439,15,0.28
2017-12,3,5439,19,0.35
2017-12,4,5439,14,0.26
2017-12,5,5439,11,0.20
2017-12,6,5439,9,0.17
2017-12,7,5439,2,0.04
2017-12,8,5439,12,0.22
2018-01,0,6951,6951,100.00
2018-01,1,6951,23,0.33
2018-01,2,6951,25,0.36
2018-01,3,6951,20,0.29
2018-01,4,6951,20,0.29
2018-01,5,6951,11,0.16
2018-01,6,6951,12,0.17
2018-01,7,6951,16,0.23
2018-02,0,6357,6357,100.00
2018-02,1,6357,23,0.36
2018-02,2,6357,25,0.39
2018-02,3,6357,19,0.30
2018-02,4,6357,17,0.27
2018-02,5,6357,14,0.22
2018-02,6,6357,13,0.20
2018-03,0,6931,6931,100.00
2018-03,1,6931,28,0.40
2018-03,2,6931,21,0.30
2018-03,3,6931,20,0.29
2018-03,4,6931,9,0.13
2018-03,5,6931,8,0.12
2018-04,0,6698,6698,100.00
2018-04,1,6698,39,0.58
2018-04,2,6698,21,0.31
2018-04,3,6698,16,0.24
2018-04,4,6698,9,0.13
2018-05,0,6586,6586,100.00
2018-05,1,6586,34,0.52
2018-05,2,6586,17,0.26
2018-05,3,6586,13,0.20
2018-06,0,5920,5920,100.00
2018-06,1,5920,25,0.42
2018-06,2,5920,16,0.27
2018-07,0,6016,6016,100.00
2018-07,1,6016,31,0.52
2018-08,0,6209,6209,100.00
2018-08,1,6209,1,0.02
